Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Israel Abanikanda,RB,Pittsburgh,5,143,https://www.sports-reference.com/cfb/players/israel-abanikanda-1.html,70,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Yasir Abdullah,LB,Louisville,5,136,https://www.sports-reference.com/cfb/players/yasir-abdullah-1.html,73,237,4.47,,36.5,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Devon Achane,RB,Texas A&M,3,84,https://www.sports-reference.com/cfb/players/devon-achane-1.html,69,188,4.32,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Jordan Addison,WR,USC,1,23,https://www.sports-reference.com/cfb/players/jordan-addison-1.html,71,173,4.49,,34.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Adetomiwa Adebawore,DE,Northwestern,4,110,https://www.sports-reference.com/cfb/players/adetomiwa-adebawore-1.html,74,282,4.49,27.0,37.5,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Alan Ali,C,TCU,0,0,https://www.sports-reference.com/cfb/players/alan-ali-1.html,76,301,,,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Davis Allen,TE,Clemson,5,175,https://www.sports-reference.com/cfb/players/davis-allen-1.html,78,245,,,38.5,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
MJ Anderson,DE,Iowa St.,0,0,https://www.sports-reference.com/cfb/players/mj-anderson-1.html,75,269,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Jake Andrews,C,Troy,4,107,https://www.sports-reference.com/cfb/players/jake-andrews-1.html,75,305,5.15,,26.0,102.0,,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Felix Anudike-Uzomah,EDGE,Kansas St.,1,31,https://www.sports-reference.com/cfb/players/felix-anudike-uzomah-1.html,75,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Malaesala Aumavae-Laulu,OT,Oregon,6,199,https://www.sports-reference.com/cfb/players/malaesala-aumavae-laulu-1.html,78,317,5.23,,28.5,106.0,7.65,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Alex Austin,CB,Oregon St.,7,252,https://www.sports-reference.com/cfb/players/alex-austin-1.html,73,195,4.55,,33.0,122.0,,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Henry Bainivalu,OG,Washington,0,0,https://www.sports-reference.com/cfb/players/henry-bainivalu-1.html,78,306,5.5,,28.0,101.0,8.34,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Habakkuk Baldonado,EDGE,Pittsburgh,0,0,https://www.sports-reference.com/cfb/players/habakkuk-baldonado-1.html,76,251,4.78,21.0,35.0,120.0,7.11,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Deonte Banks,CB,Maryland,1,24,https://www.sports-reference.com/cfb/players/deonte-banks-1.html,72,197,4.35,,42.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Jeremy Banks,LB,Tennessee,0,0,https://www.sports-reference.com/cfb/players/jeremy-banks-2.html,73,232,4.53,25.0,37.5,127.0,7.27,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Bryce Baringer,P,Michigan St.,6,192,https://www.sports-reference.com/cfb/players/bryce-baringer-1.html,74,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Micah Baskerville,LB,LSU,0,0,https://www.sports-reference.com/cfb/players/micah-baskerville-1.html,73,221,,,31.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Jordan Battle,DB,Alabama,3,95,https://www.sports-reference.com/cfb/players/jordan-battle-1.html,73,209,4.55,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Robert Beal,EDGE,Georgia,5,173,https://www.sports-reference.com/cfb/players/robert-beal-1.html,76,247,4.48,,30.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Ronnie Bell,WR,Michigan,7,253,https://www.sports-reference.com/cfb/players/ronnie-bell-3.html,72,191,4.54,14.0,38.5,120.0,6.98,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Jakorian Bennett,CB,Maryland,4,104,https://www.sports-reference.com/cfb/players/jakorian-bennett-1.html,71,188,4.3,13.0,40.5,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Stetson Bennett,QB,Georgia,4,128,https://www.sports-reference.com/cfb/players/stetson-bennett-1.html,71,192,4.67,,33.5,118.0,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Keeanu Benton,DT,Wisconsin,2,49,https://www.sports-reference.com/cfb/players/keeanu-benton-1.html,76,309,5.08,25.0,29.5,111.0,7.34,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Matthew Bergeron,OT,Syracuse,2,38,https://www.sports-reference.com/cfb/players/matthew-bergeron-2.html,77,318,,,30.5,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Tank Bigsby,RB,Auburn,3,88,https://www.sports-reference.com/cfb/players/tank-bigsby-1.html,72,210,4.56,,32.5,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Mekhi Blackmon,CB,USC,3,102,https://www.sports-reference.com/cfb/players/mekhi-blackmon-1.html,71,178,4.47,11.0,36.0,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Jake Bobo,WR,UCLA,0,0,https://www.sports-reference.com/cfb/players/jake-bobo-1.html,76,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Kayshon Boutte,WR,LSU,6,187,https://www.sports-reference.com/cfb/players/kayshon-boutte-1.html,71,195,4.5,,29.0,118.0,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Lance Boykin,CB,Coastal Carolina,0,0,https://www.sports-reference.com/cfb/players/lance-boykin-1.html,74,200,,13.0,,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Anthony Bradford,OG,LSU,4,108,https://www.sports-reference.com/cfb/players/anthony-bradford-1.html,76,332,5.08,,30.0,106.0,7.84,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Brian Branch,CB,Alabama,2,45,https://www.sports-reference.com/cfb/players/brian-branch-1.html,72,190,4.58,14.0,34.5,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Julius Brents,CB,Kansas St.,2,44,https://www.sports-reference.com/cfb/players/julius-brents-1.html,75,198,4.53,,41.5,138.0,6.63,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Bryan Bresee,DT,Clemson,1,29,https://www.sports-reference.com/cfb/players/bryan-bresee-1.html,78,298,4.86,22.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Nick Broeker,OG,Mississippi,7,230,https://www.sports-reference.com/cfb/players/nick-broeker-1.html,76,305,5.27,,,,7.75,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Jalen Brooks,WR,South Carolina,7,244,https://www.sports-reference.com/cfb/players/jalen-brooks-2.html,73,201,4.69,,35.0,130.0,7.15,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Myles Brooks,CB,Louisiana Tech,0,0,https://www.sports-reference.com/cfb/players/myles-brooks-1.html,73,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Cameron Brown,CB,Ohio St.,0,0,https://www.sports-reference.com/cfb/players/cameron-brown-2.html,72,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Chase Brown,RB,Illinois,5,163,https://www.sports-reference.com/cfb/players/chase-brown-3.html,70,209,4.43,,40.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Ji'Ayir Brown,DB,Penn St.,3,87,https://www.sports-reference.com/cfb/players/jiayir-brown-1.html,71,203,4.65,18.0,32.5,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Sydney Brown,DB,Illinois,3,66,https://www.sports-reference.com/cfb/players/sydney-brown-1.html,70,211,4.47,23.0,40.5,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Arquon Bush,CB,Cincinnati,0,0,https://www.sports-reference.com/cfb/players/arquon-bush-1.html,72,187,4.54,,33.5,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Jack Campbell,LB,Iowa,1,18,https://www.sports-reference.com/cfb/players/jack-campbell-1.html,77,249,4.65,,37.5,128.0,6.74,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Anders Carlson,K,Auburn,0,0,https://www.sports-reference.com/cfb/players/anders-carlson-1.html,77,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Jalen Carter,DT,Georgia,1,9,https://www.sports-reference.com/cfb/players/jalen-carter-1.html,75,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Zach Charbonnet,RB,UCLA,2,52,https://www.sports-reference.com/cfb/players/zach-charbonnet-1.html,72,214,4.53,,37.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Jerrod Clark,DT,Coastal Carolina,0,0,https://www.sports-reference.com/cfb/players/jerrod-clark-1.html,76,334,5.25,,27.5,102.0,7.6,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Keondre Coburn,DT,Texas,6,194,https://www.sports-reference.com/cfb/players/keondre-coburn-1.html,74,332,5.22,24.0,27.5,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Chamarri Conner,DB,Virginia Tech,4,119,https://www.sports-reference.com/cfb/players/chamarri-conner-1.html,72,202,4.51,20.0,40.5,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Jacob Copeland,WR,Maryland,0,0,https://www.sports-reference.com/cfb/players/jacob-copeland-1.html,71,201,4.42,20.0,33.0,127.0,7.01,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Brenton Cox,EDGE,Florida,0,0,https://www.sports-reference.com/cfb/players/brenton-cox-1.html,76,250,4.82,24.0,33.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Malik Cunningham,QB,Louisville,0,0,https://www.sports-reference.com/cfb/players/malik-cunningham-1.html,72,192,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
DJ Dale,DT,Alabama,0,0,https://www.sports-reference.com/cfb/players/dj-dale-1.html,73,302,5.26,,25.5,98.0,7.69,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Derius Davis,WR,TCU,4,125,https://www.sports-reference.com/cfb/players/derius-davis-1.html,68,165,4.36,,,,,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Nathaniel Dell,WR,Houston,3,69,https://www.sports-reference.com/cfb/players/nathaniel-dell-1.html,68,165,4.49,,,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
SirVocea Dennis,LB,Pittsburgh,5,153,https://www.sports-reference.com/cfb/players/sirvocea-dennis-1.html,73,226,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Gervon Dexter,DT,Florida,2,53,https://www.sports-reference.com/cfb/players/gervon-dexter-1.html,78,310,4.88,22.0,31.0,110.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
YaYa Diaby,DE,Louisville,3,82,https://www.sports-reference.com/cfb/players/yaya-diaby-1.html,75,263,4.51,,37.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Demario Douglas,WR,Liberty,0,0,https://www.sports-reference.com/cfb/players/demario-douglas-1.html,68,179,4.44,,39.5,134.0,,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Josh Downs,WR,North Carolina,3,79,https://www.sports-reference.com/cfb/players/josh-downs-2.html,69,171,4.48,,38.5,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Grant DuBose,WR,Charlotte,0,0,https://www.sports-reference.com/cfb/players/grant-dubose-1.html,74,201,4.57,,35.0,125.0,6.89,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Max Duggan,QB,TCU,7,239,https://www.sports-reference.com/cfb/players/max-duggan-1.html,74,207,4.52,,30.5,116.0,7.26,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Christopher Dunn,K,North Carolina St.,0,0,https://www.sports-reference.com/cfb/players/christopher-dunn-1.html,68,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Payne Durham,TE,Purdue,5,171,https://www.sports-reference.com/cfb/players/payne-durham-1.html,78,253,,,34.5,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Travis Dye,RB,USC,0,0,https://www.sports-reference.com/cfb/players/travis-dye-1.html,70,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Ikenna Enechukwu,DE,Rice,0,0,https://www.sports-reference.com/cfb/players/ikenna-enechukwu-1.html,76,264,4.7,,31.5,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Tiyon Evans,RB,Louisville,0,0,https://www.sports-reference.com/cfb/players/tiyon-evans-2.html,70,225,4.52,,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Zach Evans,RB,Mississippi,6,215,https://www.sports-reference.com/cfb/players/zach-evans-1.html,71,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Zay Flowers,WR,Boston Col.,1,22,https://www.sports-reference.com/cfb/players/zay-flowers-1.html,69,182,4.42,,35.5,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Emmanuel Forbes,CB,Mississippi St.,1,16,https://www.sports-reference.com/cfb/players/emmanuel-forbes-1.html,73,166,4.35,,37.5,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Bryce Ford-Wheaton,WR,West Virginia,0,0,https://www.sports-reference.com/cfb/players/bryce-ford-wheaton-1.html,76,221,4.38,,41.0,129.0,6.97,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Alex Forsyth,C,Oregon,7,257,https://www.sports-reference.com/cfb/players/alex-forsyth-1.html,76,303,,,20.5,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Isaiah Foskey,EDGE,Notre Dame,2,40,https://www.sports-reference.com/cfb/players/isaiah-foskey-1.html,77,264,4.58,22.0,34.0,125.0,7.28,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Blake Freeland,OT,BYU,4,106,https://www.sports-reference.com/cfb/players/blake-freeland-1.html,80,302,4.98,,37.0,120.0,7.46,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Jon Gaines,OG,UCLA,0,0,https://www.sports-reference.com/cfb/players/jon-gaines-ii-1.html,76,303,5.01,,32.5,114.0,7.31,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Connor Galvin,OT,Baylor,0,0,https://www.sports-reference.com/cfb/players/connor-galvin-1.html,79,293,5.48,,30.5,104.0,8.0,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Mekhi Garner,CB,LSU,0,0,https://www.sports-reference.com/cfb/players/mekhi-garner-1.html,74,212,4.55,,38.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Ali Gaye,EDGE,LSU,0,0,https://www.sports-reference.com/cfb/players/ali-gaye-1.html,78,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Jahmyr Gibbs,RB,Alabama,1,12,https://www.sports-reference.com/cfb/players/jahmyr-gibbs-1.html,69,199,4.36,,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Christian Gonzalez,CB,Oregon,1,17,https://www.sports-reference.com/cfb/players/christian-gonzalez-2.html,73,197,4.38,14.0,41.5,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Richard Gouraige,OT,Florida,0,0,https://www.sports-reference.com/cfb/players/richard-gouraige-1.html,77,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Jalen Graham,LB,Purdue,7,255,https://www.sports-reference.com/cfb/players/jalen-graham-1.html,74,220,4.64,,30.5,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Eric Gray,RB,Oklahoma,5,172,https://www.sports-reference.com/cfb/players/eric-gray-2.html,70,207,,,37.5,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Antoine Green,WR,North Carolina,7,219,https://www.sports-reference.com/cfb/players/antoine-green-1.html,74,199,4.47,,33.5,123.0,6.99,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Jovaughn Gwyn,OG,South Carolina,0,0,https://www.sports-reference.com/cfb/players/jovaughn-gwyn-1.html,74,297,5.12,,27.5,109.0,7.9,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Jake Haener,QB,Fresno St.,4,127,https://www.sports-reference.com/cfb/players/jake-haener-1.html,72,207,,,35.0,114.0,7.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Derick Hall,EDGE,Auburn,2,37,https://www.sports-reference.com/cfb/players/derick-hall-1.html,75,254,4.55,,33.5,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Jaren Hall,QB,BYU,5,164,https://www.sports-reference.com/cfb/players/jaren-hall-1.html,72,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Nick Hampton,EDGE,Appalachian St.,5,161,https://www.sports-reference.com/cfb/players/nick-hampton-1.html,74,236,4.58,,35.5,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Anton Harrison,OT,Oklahoma,1,27,https://www.sports-reference.com/cfb/players/anton-harrison-1.html,76,315,4.98,,28.5,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Zach Harrison,EDGE,Ohio St.,3,75,https://www.sports-reference.com/cfb/players/zach-harrison-1.html,78,274,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Jadon Haselwood,WR,Arkansas,0,0,https://www.sports-reference.com/cfb/players/jadon-haselwood-1.html,74,215,4.66,,37.0,123.0,6.98,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
